,title,rating
2836,"Exorcist, The (1973)",4.999666688887406
1142,Blade Runner (1982),4.999666688887406
2520,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.999666688887406
6085,Night of the Living Dead (1968),4.999666688887406
3267,Full Metal Jacket (1987),4.999666688887406
592,Army of Darkness (1993),4.999666688887406
60,1984 (Nineteen Eighty-Four) (1984),4.999375078115236
4435,"Island of Dr. Moreau, The (1996)",4.999375078115236
135,"7th Voyage of Sinbad, The (1958)",4.999375078115236
3484,"Godfather, The (1972)",4.999375078115236
3064,Flash Gordon (1980),4.999375078115236
7018,Reform School Girls (1986),4.999375078115236
8912,True Lies (1994),4.999375078115236
8860,Transformers: The Movie (1986),4.999375078115236
9082,"Usual Suspects, The (1995)",4.999375078115236
883,"Beastmaster, The (1982)",4.999375078115236
2136,Dangerous Liaisons (1988),4.999375078115236
7649,"Silence of the Lambs, The (1991)",4.999375078115236
3837,Heavy Metal (1981),4.999375078115236
3830,Heathers (1989),4.999375078115236
295,Akira (1988),4.999375078115236
1811,Clash of the Titans (1981),4.999375078115236
5184,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.999375078115236
9187,Waiting for Guffman (1996),4.999375078115236
832,Batman (1989),4.999375078115236
5138,"Lock, Stock & Two Smoking Barrels (1998)",4.999375078115236
8958,Twin Peaks: Fire Walk with Me (1992),4.999375078115236
1058,Big Trouble in Little China (1986),4.999375078115236
2774,Escape from New York (1981),4.999375078115236
3231,Fright Night (1985),4.999375078115236
962,Beneath the Planet of the Apes (1970),4.999375078115236
1679,Charlie's Angels (2000),4.999375078115236
7492,Seven (a.k.a. Se7en) (1995),4.999375078115236
5183,"Lord of the Rings, The (1978)",4.999375078115236
6736,Predator 2 (1990),4.999375078115236
8610,There's Something About Mary (1998),4.999375078115236
8604,Them! (1954),4.999375078115236
9445,William Shakespeare's Romeo + Juliet (1996),4.999375078115236
3459,Gladiator (2000),4.999375078115236
3313,"Game, The (1997)",4.999375078115236
5977,"Name of the Rose, The (Name der Rose, Der) (1986)",4.999375078115236
6325,"Opposite of Sex, The (1998)",4.999375078115236
7871,Spawn (1997),4.999375078115236
7594,"Shining, The (1980)",4.999375078115236
8476,The Hunger (1983),4.999375078115236
